docid,adj,adp,adv,aux,cconj,det,intj,noun,num,pron,propn,punct,sconj,sym,verb
432481,0.13333333333333333,0.13333333333333333,0.06666666666666667,0,0,0.06666666666666667,0,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.06666666666666667,0,0,0.13333333333333333
437052,0.0851063829787234,0.0851063829787234,0.010638297872340425,0.06382978723404255,0.031914893617021274,0.10638297872340426,0,0.2978723404255319,0.010638297872340425,0.06382978723404255,0.031914893617021274,0.0851063829787234,0.010638297872340425,0,0.11702127659574468
4394277,0.08203125,0.0859375,0.04296875,0.05078125,0.046875,0.06640625,0.00390625,0.2734375,0.01171875,0.0625,0.03125,0.08203125,0.0234375,0,0.13671875
443279,0.125,0.125,0,0,0,0,0.125,0.25,0.125,0,0,0.125,0,0,0.125
4445277,0.09302325581395349,0.046511627906976744,0.023255813953488372,0.06976744186046512,0.046511627906976744,0.09302325581395349,0.023255813953488372,0.16279069767441862,0.023255813953488372,0.06976744186046512,0.06976744186046512,0.06976744186046512,0.046511627906976744,0,0.16279069767441862
4451210,0.0875,0.075,0.0625,0.0375,0,0.125,0,0.225,0,0.05,0.075,0.125,0.0125,0,0.125
4451448,0.04819277108433735,0.07228915662650602,0.04819277108433735,0.03614457831325301,0,0.0963855421686747,0.012048192771084338,0.2289156626506024,0,0.060240963855421686,0.07228915662650602,0.14457831325301204,0.012048192771084338,0,0.1686746987951807
4461582,0.056338028169014086,0.11267605633802817,0.04225352112676056,0.056338028169014086,0.014084507042253521,0.08450704225352113,0,0.22535211267605634,0,0.07042253521126761,0.08450704225352113,0.1267605633802817,0,0,0.1267605633802817
4462315,0.08974358974358974,0.0641025641025641,0.038461538461538464,0.0641025641025641,0,0.10256410256410256,0,0.21794871794871795,0,0.07692307692307693,0.08974358974358974,0.14102564102564102,0,0,0.11538461538461539
4487784,0.14473684210526316,0.07894736842105263,0.039473684210526314,0.02631578947368421,0.013157894736842105,0.10526315789473684,0,0.2631578947368421,0.013157894736842105,0.06578947368421052,0.013157894736842105,0.11842105263157894,0,0,0.11842105263157894
4489039,0.041666666666666664,0.06944444444444445,0.027777777777777776,0.05555555555555555,0,0.06944444444444445,0.013888888888888888,0.2777777777777778,0,0.06944444444444445,0.05555555555555555,0.1388888888888889,0.013888888888888888,0,0.16666666666666666
4509085,0.025974025974025976,0.11688311688311688,0.03896103896103896,0.03896103896103896,0,0.1038961038961039,0,0.23376623376623376,0,0.09090909090909091,0.1038961038961039,0.1038961038961039,0,0,0.14285714285714285
4510433,0.038461538461538464,0.05128205128205128,0.038461538461538464,0.05128205128205128,0.01282051282051282,0.08974358974358974,0.01282051282051282,0.2564102564102564,0,0.0641025641025641,0.10256410256410256,0.14102564102564102,0,0,0.14102564102564102
4535663,0.08108108108108109,0.08108108108108109,0.02702702702702703,0.05405405405405406,0,0.10810810810810811,0,0.2702702702702703,0,0.06756756756756757,0.05405405405405406,0.12162162162162163,0.013513513513513514,0,0.12162162162162163
454573,0.047619047619047616,0.14285714285714285,0,0,0.09523809523809523,0.09523809523809523,0.047619047619047616,0.2857142857142857,0.14285714285714285,0,0.047619047619047616,0.047619047619047616,0,0,0.047619047619047616
4549610,0.037037037037037035,0.07407407407407407,0.06172839506172839,0.037037037037037035,0.012345679012345678,0.1111111111111111,0,0.2222222222222222,0.012345679012345678,0.08641975308641975,0.06172839506172839,0.14814814814814814,0,0,0.13580246913580246
4567796,0.05555555555555555,0.08333333333333333,0.041666666666666664,0.041666666666666664,0,0.08333333333333333,0,0.20833333333333334,0,0.09722222222222222,0.08333333333333333,0.1388888888888889,0,0,0.16666666666666666
4579822,0.05063291139240506,0.08860759493670886,0.06329113924050633,0.02531645569620253,0,0.11392405063291139,0,0.22784810126582278,0.012658227848101266,0.08860759493670886,0.06329113924050633,0.12658227848101267,0,0,0.13924050632911392
4580209,0.11842105263157894,0.07894736842105263,0.039473684210526314,0.05263157894736842,0,0.11842105263157894,0,0.21052631578947367,0,0.06578947368421052,0.06578947368421052,0.11842105263157894,0.013157894736842105,0,0.11842105263157894
4590629,0.08450704225352113,0.07042253521126761,0.04225352112676056,0.07042253521126761,0,0.07042253521126761,0,0.22535211267605634,0.014084507042253521,0.07042253521126761,0.09859154929577464,0.1267605633802817,0,0,0.1267605633802817
4601397,0.047619047619047616,0.08333333333333333,0.03571428571428571,0.023809523809523808,0.011904761904761904,0.11904761904761904,0.011904761904761904,0.17857142857142858,0,0.07142857142857142,0.14285714285714285,0.11904761904761904,0.011904761904761904,0,0.14285714285714285
461386,0.07142857142857142,0,0.07142857142857142,0.07142857142857142,0,0,0,0.21428571428571427,0,0.14285714285714285,0,0.21428571428571427,0,0,0.21428571428571427
4627762,0.0273972602739726,0.1095890410958904,0.0547945205479452,0.0547945205479452,0,0.0684931506849315,0,0.2328767123287671,0.0136986301369863,0.0684931506849315,0.136986301369863,0.1095890410958904,0,0,0.1232876712328767
463487,0,0,0,0,0.08333333333333333,0,0.08333333333333333,0.25,0.08333333333333333,0.08333333333333333,0,0.16666666666666666,0,0,0.25
4637512,0.07692307692307693,0.0641025641025641,0.038461538461538464,0.0641025641025641,0.01282051282051282,0.07692307692307693,0,0.20512820512820512,0.01282051282051282,0.0641025641025641,0.10256410256410256,0.1282051282051282,0,0,0.15384615384615385
4640609,0.02631578947368421,0.09210526315789473,0.05263157894736842,0.039473684210526314,0,0.05263157894736842,0,0.2236842105263158,0.013157894736842105,0.06578947368421052,0.11842105263157894,0.14473684210526316,0.02631578947368421,0,0.14473684210526316
4648572,0.11428571428571428,0.07142857142857142,0.04285714285714286,0.05714285714285714,0,0.07142857142857142,0,0.2571428571428571,0,0.07142857142857142,0.05714285714285714,0.12857142857142856,0,0,0.12857142857142856
465367,0.08759124087591241,0.08029197080291971,0.072992700729927,0.08029197080291971,0.043795620437956206,0.0948905109489051,0.0072992700729927005,0.22627737226277372,0,0.08029197080291971,0,0.043795620437956206,0.043795620437956206,0,0.1386861313868613
46572,0.04,0,0.04,0.08,0.04,0,0.04,0.28,0.04,0.16,0,0.08,0.08,0,0.12
4670977,0.06060606060606061,0.045454545454545456,0.06060606060606061,0.015151515151515152,0,0.12121212121212122,0,0.2878787878787879,0,0.07575757575757576,0.06060606060606061,0.12121212121212122,0,0,0.15151515151515152
