"","docid","cluster","membership_prob","outlier_scores"
"1","10100170",8,1,NA
"2","10103676",8,1,NA
"3","10105175",3,0.0119948453240813,0
"4","10105717",8,1,NA
"5","10106887",8,0.74267970259142,0
"6","10114458",8,0.836892042736119,1
"7","10114531",8,1,NA
"8","10122654",8,1,NA
"9","10122977",8,1,NA
"10","10125457",8,1,NA
"11","10126833",8,1,NA
"12","10127011",8,1,NA
"13","10127301",8,1,NA
"14","10133472",8,1,NA
"15","10134922",8,1,NA
"16","10135891",8,0.799175881441044,1
"17","10141958",8,1,NA
"18","10145958",8,1,NA
"19","10148896",8,0.652913928827009,1
"20","10151766",8,1,NA
"21","10156310",8,1,NA
"22","10156978",8,0.836125236419612,1
"23","10158965",8,1,NA
"24","10165376",8,1,NA
"25","10167062",8,1,NA
"26","10172697",8,1,NA
"27","10173030",8,1,NA
"28","10176685",8,0.884838612260742,1
"29","10183418",8,1,NA
"30","10183564",8,1,NA
"31","10190559",8,1,NA
"32","10190969",8,0.74267970259142,0
"33","10195212",8,1,NA
"34","10202655",8,0.743158591996857,1
"35","10205669",8,1,NA
"36","10209757",8,1,NA
"37","10209909",8,1,NA
"38","10209921",8,1,NA
"39","10214320",8,0.770022479593346,1
"40","10216680",8,1,NA
"41","10216949",8,1,NA
"42","10217138",8,0.718336211346596,0.0864274792340414
"43","10226183",8,1,NA
"44","10226968",0,0,1
"45","10227620",8,1,NA
"46","10227636",8,1,NA
"47","10233281",8,1,NA
"48","10233805",8,1,NA
"49","10237092",8,1,NA
"50","10237599",8,1,NA
"51","10243351",8,1,NA
"52","10243618",8,1,NA
"53","10245650",8,1,NA
"54","10248128",0,0,1
"55","10249930",8,1,NA
"56","10251323",8,0.836621435499987,1
"57","10253555",8,0.671708799971806,1
"58","10262382",8,0.496641652207196,1
"59","10264155",8,0.694790327690969,1
"60","10275609",8,1,NA
"61","10280407",8,1,NA
"62","10290396",8,1,NA
"63","10293155",8,1,NA
"64","10296148",3,0.00538352108962707,0.00664710908640598
"65","10296501",8,1,NA
"66","10300888",8,1,NA
"67","10308564",8,1,NA
"68","10309335",8,1,NA
"69","10315943",8,0.74267970259142,0
"70","10320298",8,1,NA
"71","10324277",0,0,1
"72","10328668",8,0.836125236419612,1
"73","10332695",8,1,NA
"74","10336201",8,0.836621435499987,1
"75","10338249",8,1,NA
"76","10339981",8,1,NA
"77","10346841",8,1,NA
"78","10346909",8,1,NA
"79","10348494",8,1,NA
"80","10348903",8,0.836621435499987,1
"81","10353212",3,0.0119948453240813,0
"82","10358660",8,1,NA
"83","10359863",8,1,NA
"84","10366932",8,1,NA
"85","10371118",8,1,NA
"86","10377291",8,1,NA
"87","10378363",8,1,NA
"88","10378884",8,1,NA
"89","10380522",8,0.602546175077542,1
"90","10387332",8,1,NA
"91","10393013",8,1,NA
"92","10397565",8,1,NA
"93","10406558",8,1,NA
"94","10406845",8,1,NA
"95","10408408",8,1,NA
"96","10417776",8,1,NA
"97","10423111",8,0.432569957799202,1
"98","10425990",8,1,NA
"99","10427758",8,1,NA
"100","10428682",8,1,NA
"101","10430733",8,1,NA
"102","10439157",8,1,NA
"103","10439503",8,1,NA
"104","10444231",8,0.718336211346596,0.0864274792340414
"105","10450417",8,1,NA
"106","10452861",8,1,NA
"107","10456558",8,1,NA
"108","10456648",8,1,NA
"109","10456849",8,0.800579293621561,1
"110","10459618",8,1,NA
"111","10463458",8,0.88456967603101,1
"112","10464888",8,1,NA
"113","10482026",8,1,NA
"114","10484803",8,0.352938850710236,1
"115","10485326",8,1,NA
"116","10491101",8,1,NA
"117","10491943",8,1,NA
"118","10492066",0,0,1
"119","10493043",8,1,NA
"120","10495016",8,0,1
"121","10500605",8,0.693564321567523,1
"122","10502099",8,1,NA
"123","10518117",8,0.718336211346596,0.0864274792340414
"124","10521554",8,0.554246277579096,1
"125","10526851",0,0,1
"126","10527169",8,1,NA
"127","10532060",8,1,NA
"128","10533558",8,0.694790327690969,1
"129","10537456",8,1,NA
"130","10538284",8,1,NA
"131","10541164",8,1,NA
"132","10547588",0,0,1
"133","10549907",8,1,NA
"134","10551913",8,1,NA
"135","10568003",8,1,NA
"136","10569452",8,1,NA
"137","10575526",8,0.695195852529403,1
"138","106557",0,0,1
"139","1071253",0,0,1
"140","1073558",0,0,1
"141","1075371",0,0,1
"142","1079486",0,0,1
"143","1080702",0,0,1
"144","1083240",0,0,1
"145","1084116",0,0,1
"146","1087259",0,0,1
"147","10911771",8,1,NA
"148","10916721",8,1,NA
"149","1092067",4,1,NA
"150","10926866",8,1,NA
"151","10928341",8,1,NA
"152","10932570",8,1,NA
"153","10933262",8,1,NA
"154","10935424",8,0.565711563557219,1
"155","10938038",8,1,NA
"156","10942828",0,0,1
"157","10942989",8,1,NA
"158","10945697",8,1,NA
"159","10946454",0,0,1
"160","10947344",8,1,NA
"161","1094847",0,0,1
"162","10952953",8,1,NA
"163","10955448",8,0.653723268494883,1
"164","10957100",8,1,NA
"165","10964253",8,1,NA
"166","10964476",8,1,NA
"167","10968368",8,1,NA
"168","10968951",8,0.742560509946668,1
"169","10976019",8,1,NA
"170","10976909",8,1,NA
"171","10989314",8,1,NA
"172","10998931",8,1,NA
"173","11017896",8,0.836621435499987,1
"174","1106467",4,1,NA
"175","1108042",4,1,NA
"176","11087021",0,0,1
"177","1128170",4,1,NA
"178","1129535",4,1,NA
"179","11299777",1,NA,NA
"180","1132460",4,0.897596607590509,1
"181","1144927",4,1,NA
"182","1146119",4,1,NA
"183","114655",0,0,1
"184","1147618",4,1,NA
"185","1149413",4,1,NA
"186","1162969",4,1,NA
"187","1163236",4,1,NA
"188","1164928",4,1,NA
"189","1167714",4,1,NA
"190","1168591",4,1,NA
"191","117712",0,0,1
"192","1177213",4,1,NA
"193","1185027",4,1,NA
"194","1186600",4,1,NA
"195","12094223",0,0,1
"196","12201836",1,NA,NA
"197","122527",0,0,1
"198","12301724",1,NA,NA
"199","12315453",7,0.840598299294763,1
"200","12728069",8,1,NA
"201","12742209",8,1,NA
"202","12754544",8,1,NA
"203","12754708",8,1,NA
"204","12771155",8,1,NA
"205","12772649",8,0.88456967603101,1
"206","12775853",8,1,NA
"207","1280564",4,1,NA
"208","1284082",4,1,NA
"209","1286282",4,0.874833739908801,1
"210","12891576",7,1,NA
"211","1293596",4,0.838422603489068,1
"212","129446",0,0,1
"213","13093323",1,NA,NA
"214","13243291",1,NA,NA
"215","13261909",1,NA,NA
"216","133303",6,0.0183251034828199,0
"217","13501380",1,NA,NA
"218","1362617",0,0,1
"219","13672641",1,NA,NA
"220","1391575",0,0,1
"221","139372",0,0,1
"222","1422823",0,0,1
"223","14255494",0,0,1
"224","14286127",1,NA,NA
"225","14422812",0,0,1
"226","148676",0,0,1
"227","150767",0,0,1
"228","155090",0,0,1
"229","15526752",1,NA,NA
"230","164385",0,0,1
"231","1659964",0,0,1
"232","167577",0,0,1
"233","1679052",0,0,1
"234","168444",0,0,1
"235","17218388",1,NA,NA
"236","1764196",0,0,1
"237","1780730",0,0,1
"238","18357458",1,NA,NA
"239","192873",0,0,1
"240","193778",0,0,1
"241","1972182",0,0,1
"242","1986040",0,0,1
"243","199028",0,0,1
"244","201161",0,0,1
"245","2041846",0,0,1
"246","2048722",0,0,1
"247","2057575",0,0,1
"248","2062765",0,0,1
"249","207275",0,0,1
"250","2075504",0,0,1
"251","207842",0,0,1
"252","207900",0,0,1
"253","212177",0,0,1
"254","2148323",0,0,1
"255","2148500",0,0,1
"256","2156619",0,0,1
"257","2168448",0,0,1
"258","2168472",0,0,1
"259","2168958",0,0,1
"260","2171579",0,0,1
"261","21806828",0,0,1
"262","21808409",0,0,1
"263","21812925",0,0,1
"264","21813609",0,0,1
"265","21814545",0,0,1
"266","21815284",0,0,1
"267","21819237",0,0,1
"268","21865969",0,0,1
"269","2187570",2,0.105994787143576,0.116059506051832
"270","22025199",0,0,1
"271","22025410",0,0,1
"272","220408",0,0,1
"273","2207617",2,0.0275887037190806,0.187332137679887
"274","2208170",2,0.0996758650970576,0.122263439566978
"275","22087011",0,0,1
"276","22089519",0,0,1
"277","22096368",0,0,1
"278","22098455",7,1,NA
"279","22101143",0,0,1
"280","2217948",2,0.135530613390442,0.0858584217263157
"281","2219199",2,0.103677379817812,0.118344899871078
"282","2220438",2,0.00784840236951517,0.203501348652907
"283","2226926",2,0.0517558883180948,0.166620282995611
"284","2227803",2,0.0980827445746364,0.123813848009985
"285","223028",0,0,1
"286","223089",0,0,1
"287","2240264",2,0.059405488659576,0.0610390974980305
"288","2242789",0,0,1
"289","2243120",2,0.188066538770901,0.0267091489883007
"290","224522",0,0,1
"291","2273094",2,0.0864375253672764,0.134982629663893
"292","2275500",2,0.155524076658259,0.0642155831780307
"293","2279957",2,0.00240725615180958,0.20784567217662
"294","2282970",0,0,1
"295","2289629",2,0.134208993688077,0.0872538480033159
"296","2295127",2,0.0247883738706145,0.189665721499818
"297","2296616",2,0.066315165469071,0.153625098942991
"298","2302309",2,0.0057594727791186,0.205174816547201
"299","2303959",2,0.0170802198389121,0.196020442975485
"300","2308245",2,0.0276171821568881,0.187308336857052
"301","2311308",0,0,1
"302","2313635",2,0.0544413857107881,0.164253386831462
"303","2325026",2,0.165398124293114,0.0531444603150142
"304","2325457",2,0.0383952788859249,0.178199324428236
"305","2328954",2,0.0259963910065268,0.188660696790252
"306","2331429",0,0,1
"307","2335559",2,0.129751157792172,0.0919293756947943
"308","2341303",2,0.0615709934649886,0.0588723652974027
"309","2345198",2,0.0172240984190138,0.19590274021445
"310","2345218",2,0.0483527957112222,0.169600450794007
"311","2350820",2,0.0103275775252076,0.201506082721353
"312","235308",0,0,1
"313","2358016",2,0.102228459720438,0.11976780952706
"314","2365810",2,0.103939268924804,0.11808722105664
"315","2367350",2,0.1310407790069,0.0905817092988531
"316","2372032",2,0.0623202868473365,0.157230983714495
"317","2375003",2,0.0597889670843199,0.0606561289567329
"318","2380778",2,0.0648138828905399,0.154983810188396
"319","238196",0,0,1
"320","2390121",2,0.143982217061404,0.0768329523111897
"321","2404146",2,0.0140880338979632,0.198460474550363
"322","2405132",2,0.0664802536257329,0.0539230962314126
"323","2418290",2,0.0754232925129655,0.145287348204555
