"","docid","cluster","membership_prob","outlier_scores"
"1",7603,0,0,0.977829926297619
"2",29527,4,0.320290633463396,0.766923686617551
"3",46572,0,0,0.978666124414516
"4",55966,0,0,0.977419355195775
"5",62572,0,0,0.960970500183598
"6",63442,0,0,0.973054538752174
"7",63502,0,0,0.98809973777114
"8",64350,0,0,0.931431849577563
"9",71716,4,0.109419925447659,0.822111275728345
"10",74716,0,0,0.982347148316644
"11",75134,0,0,0.979643794852354
"12",77813,0,0,0.979983519064027
"13",98326,4,0.303370781860772,0.772584684651844
"14",106557,0,0,0.9794425713523
"15",114655,0,0,0.984048015330642
"16",117712,0,0,0.964986293800391
"17",122527,0,0,0.97742359692442
"18",129446,0,0,0.977712742437821
"19",133303,4,0.109419925447659,0.822111275728345
"20",139372,0,0,0.978401371519334
"21",148676,0,0,0.98722067979237
"22",150767,0,0,0.979219842854964
"23",155090,0,0,0.963677515735664
"24",164385,0,0,0.982443808466009
"25",167577,0,0,0.979481448858657
"26",168444,0,0,0.975753682772389
"27",192873,0,0,0.977159860441502
"28",193778,0,0,0.98108350489582
"29",199028,0,0,0.979686709400537
"30",201161,0,0,0.975560171609606
"31",207275,0,0,0.97910650819184
"32",207842,0,0,0.968278466534049
"33",207900,0,0,0.973147349894212
"34",212177,0,0,0.979184534395519
"35",220408,0,0,0.978524100436566
"36",223028,0,0,0.974216034319133
"37",223089,0,0,0.973139075187453
"38",224522,0,0,0.983483242549544
"39",235308,0,0,0.981247686326783
"40",238196,0,0,0.983731417547442
"41",246955,0,0,0.966386502591057
"42",247549,0,0,0.97755782462108
"43",254337,0,0,0.966619062789741
"44",260525,0,0,0.982572528443648
"45",263147,0,0,0.976003346771895
"46",269943,0,0,0.982549992411689
"47",276847,0,0,0.985614148575451
"48",277294,0,0,0.953693956267666
"49",293056,0,0,0.979625571149025
"50",313822,0,0,0.984511183760892
"51",317209,0,0,0.979884472938321
"52",321825,4,0.317109216380182,0.768009530771365
"53",323087,0,0,0.96872904330378
"54",327371,0,0,0.968240172724043
"55",331034,0,0,0.980964504755307
"56",337988,0,0,0.981165648751078
"57",349808,0,0,0.958912384262917
"58",363665,0,0,0.970026459185487
"59",368238,0,0,0.979232095022095
"60",382630,0,0,0.966421682573523
"61",383704,0,0,0.984333778065473
"62",395910,0,0,0.979858214157871
"63",396060,0,0,0.963710746522627
"64",399508,0,0,0.945777267771937
"65",407510,0,0,0.982987588632419
"66",408321,0,0,0.942298284845222
"67",411906,0,0,0.962128115158876
"68",421597,0,0,0.969093231845872
"69",427492,0,0,0.987328543809959
"70",432481,0,0,0.981044499069603
"71",437052,0,0,0.959591154036112
"72",443279,0,0,0.984646912182688
"73",454573,0,0,0.978191426455883
"74",461386,0,0,0.985894628980378
"75",463487,0,0,0.984781887967878
"76",465367,0,0,0.953872552462364
"77",479910,0,0,0.966800753643432
"78",482291,0,0,0.981375257307672
"79",490222,0,0,0.976982418710912
"80",513090,0,0,0.96904570073984
"81",540243,0,0,0.960691300442644
"82",541665,0,0,0.958453553096321
"83",575237,0,0,0.977069945296487
"84",589101,0,0,0.913651263637997
"85",591921,0,0,0.987573764853693
"86",602684,0,0,0.981897331073683
"87",602905,0,0,0.978647377294931
"88",603506,0,0,0.982541722037371
"89",624394,0,0,0.963186029457525
"90",629958,0,0,0.962220516399751
"91",631636,0,0,0.973425987653872
"92",639221,0,0,0.975516029619376
"93",639615,0,0,0.978502495822669
"94",644147,0,0,0.975135962040438
"95",654540,0,0,0.976982418710912
"96",682142,0,0,0.987223137130261
"97",695172,0,0,0.973490734363912
"98",695838,0,0,0.973020341749816
"99",701078,0,0,0.943615002605649
"100",705270,0,0,0.96855221777744
"101",732005,0,0,0.983561827078384
"102",732875,0,0,0.976625516764061
"103",735094,0,0,0.978523489378981
"104",735138,0,0,0.977772602285843
"105",742303,0,0,0.968356847755547
"106",743854,0,0,0.974725403190688
"107",747715,0,0,0.988746201958445
"108",756662,0,0,0.97606403994606
"109",913666,0,0,0.972178836874164
"110",919935,0,0,0.95687971834017
"111",922297,0,0,0.983353271162088
"112",929047,0,0,0.987055185359974
"113",944197,0,0,0.995604484501011
"114",960237,0,0,0.980373691125392
"115",970699,0,0,0.911593382213619
"116",1071253,0,0,0.978002322156674
"117",1073558,0,0,0.980118969253128
"118",1075371,0,0,0.973679069502352
"119",1079486,0,0,0.985200929032657
"120",1080702,0,0,0.91153398537619
"121",1083240,0,0,0.983984126874636
"122",1084116,0,0,0.981154159313812
"123",1087259,0,0,0.954915198496194
"124",1092067,3,0.124478492825211,0
"125",1094847,0,0,0.982532817304028
"126",1106467,3,0.10283765800064,0.0241214257570633
"127",1108042,3,0.124478492825211,0
"128",1128170,3,0.10283765800064,0.0241214257570633
"129",1129535,3,0.10283765800064,0.0241214257570633
"130",1132460,3,0.10283765800064,0.0241214257570633
"131",1144927,3,0.10283765800064,0.0241214257570633
"132",1146119,3,0.10283765800064,0.0241214257570633
"133",1147618,3,0.10283765800064,0.0241214257570633
"134",1149413,3,0,0.124478492825211
"135",1162969,3,0.10283765800064,0.0241214257570633
"136",1163236,3,0.10283765800064,0.0241214257570633
"137",1164928,3,0.10283765800064,0.0241214257570633
"138",1167714,3,0.10283765800064,0.0241214257570633
"139",1168591,3,0.124478492825211,0
"140",1177213,3,0.10283765800064,0.0241214257570633
"141",1185027,3,0.0191623383240258,0.107373685387681
"142",1186600,3,0.10283765800064,0.0241214257570633
"143",1280564,3,0,0.124478492825211
"144",1284082,3,0,0.124478492825211
"145",1286282,3,0,0.124478492825211
"146",1293596,3,0,0.124478492825211
"147",1362617,0,0,0.980855572483143
"148",1391575,0,0,0.982993099327026
"149",1422823,0,0,0.990556886294013
"150",1659964,0,0,0.973288562616354
"151",1679052,0,0,0.9685508986259
"152",1764196,0,0,0.960230239029159
"153",1780730,0,0,0.962026629449871
"154",1972182,0,0,0.964636946002192
"155",1986040,0,0,0.98315277199165
"156",2041846,0,0,0.96940610678133
"157",2048722,0,0,0.957636157201587
"158",2057575,0,0,0.978952623135197
"159",2062765,0,0,0.987573764853693
"160",2075504,0,0,0.979342358325492
"161",2148323,0,0,0.97715175722269
"162",2148500,0,0,0.98660143050627
"163",2156619,0,0,0.983767007978369
"164",2168448,0,0,0.980341797646966
"165",2168472,0,0,0.987574911744343
"166",2168958,0,0,0.984785338386583
"167",2171579,0,0,0.960193680739159
"168",2187570,0,0,0.943275295465593
"169",2207617,0,0,0.946541304880135
"170",2208170,0,0,0.945493984221669
"171",2217948,0,0,0.943015321588648
"172",2219199,0,0,0.942803672547964
"173",2220438,0,0,0.951118627972732
"174",2226926,0,0,0.942432168100214
"175",2227803,0,0,0.943720335414526
"176",2240264,0,0,0.942066238436212
"177",2242789,0,0,0.944259894025644
"178",2243120,0,0,0.943183999520066
