docid,adj adj,adj adp,adj adv,adj aux,adj cconj,adj det,adj noun,adj part,adj pron,adj propn,adj punct,adj sconj,adj verb,adp adj,adp adp,adp adv,adp aux,adp cconj,adp det,adp noun,adp num,adp part,adp pron,adp propn,adp punct,adp sconj,adp sym,adp verb,adv adj,adv adp,adv adv,adv aux,adv cconj,adv det,adv intj,adv noun,adv num,adv part,adv pron,adv propn,adv punct,adv sconj,adv sym,adv verb,aux adj,aux adp,aux adv,aux aux,aux cconj,aux det,aux noun,aux num,aux part,aux pron,aux propn,aux punct,aux sconj,aux sym,aux verb,cconj adj,cconj adp,cconj adv,cconj aux,cconj cconj,cconj det,cconj noun,cconj num,cconj part,cconj pron,cconj propn,cconj punct,cconj sconj,cconj verb,cconj x,det adj,det adp,det adv,det aux,det cconj,det det,det noun,det num,det part,det pron,det propn,det punct,det verb,det x,intj adv,intj aux,intj det,intj intj,intj pron,intj propn,intj punct,intj verb,noun adj,noun adp,noun adv,noun aux,noun cconj,noun det,noun intj,noun noun,noun num,noun part,noun pron,noun propn,noun punct,noun sconj,noun sym,noun verb,noun x,num adj,num adp,num adv,num aux,num cconj,num det,num noun,num num,num part,num propn,num punct,num sconj,num sym,num verb,part adj,part adp,part adv,part aux,part cconj,part det,part noun,part num,part pron,part propn,part punct,part verb,pron adj,pron adp,pron adv,pron aux,pron cconj,pron det,pron intj,pron noun,pron num,pron part,pron pron,pron propn,pron punct,pron sconj,pron sym,pron verb,propn adj,propn adp,propn adv,propn aux,propn cconj,propn det,propn intj,propn noun,propn num,propn part,propn pron,propn propn,propn punct,propn sconj,propn verb,punct adj,punct adp,punct adv,punct aux,punct cconj,punct det,punct intj,punct noun,punct num,punct part,punct pron,punct propn,punct punct,punct sconj,punct sym,punct verb,punct x,sconj adj,sconj adp,sconj adv,sconj aux,sconj cconj,sconj det,sconj noun,sconj part,sconj pron,sconj propn,sconj punct,sconj sconj,sconj sym,sconj verb,sconj x,sym adj,sym adp,sym noun,sym num,sym propn,sym punct,sym sconj,sym sym,sym verb,verb adj,verb adp,verb adv,verb aux,verb cconj,verb det,verb intj,verb noun,verb num,verb part,verb pron,verb propn,verb punct,verb sconj,verb sym,verb verb,verb x,x adj,x adv,x noun,x pron,x punct,x verb
10100170,0.002325581395348837,0.0069767441860465115,0.002325581395348837,0,0.002325581395348837,0,0.05116279069767442,0.011627906976744186,0,0.0069767441860465115,0.002325581395348837,0.004651162790697674,0,0.004651162790697674,0,0.002325581395348837,0,0,0.011627906976744186,0.01627906976744186,0,0.002325581395348837,0.0069767441860465115,0.011627906976744186,0.002325581395348837,0,0,0,0.009302325581395349,0,0.002325581395348837,0.002325581395348837,0,0.002325581395348837,0,0,0,0.002325581395348837,0,0,0.009302325581395349,0,0,0.0069767441860465115,0.009302325581395349,0,0.004651162790697674,0.0069767441860465115,0,0.002325581395348837,0,0,0.01627906976744186,0,0,0,0,0,0.027906976744186046,0.009302325581395349,0,0,0.002325581395348837,0,0,0.0069767441860465115,0,0,0.002325581395348837,0.002325581395348837,0.002325581395348837,0.004651162790697674,0.0069767441860465115,0,0.018604651162790697,0,0,0,0,0,0.02558139534883721,0.002325581395348837,0,0,0.013953488372093023,0,0,0,0.002325581395348837,0,0,0,0.002325581395348837,0,0,0,0.004651162790697674,0.030232558139534883,0.002325581395348837,0.011627906976744186,0.013953488372093023,0.002325581395348837,0,0.027906976744186046,0.004651162790697674,0.009302325581395349,0.018604651162790697,0.0069767441860465115,0.044186046511627906,0.002325581395348837,0,0.004651162790697674,0,0,0,0.002325581395348837,0,0,0,0.002325581395348837,0,0,0,0.002325581395348837,0,0,0,0.002325581395348837,0,0.002325581395348837,0.002325581395348837,0,0.002325581395348837,0.004651162790697674,0,0,0.002325581395348837,0,0.04186046511627907,0.0069767441860465115,0.004651162790697674,0.004651162790697674,0.027906976744186046,0.002325581395348837,0,0,0.009302325581395349,0,0.002325581395348837,0.004651162790697674,0,0.004651162790697674,0,0,0.01627906976744186,0,0.002325581395348837,0.002325581395348837,0.009302325581395349,0,0,0,0.004651162790697674,0,0.011627906976744186,0,0.01627906976744186,0.013953488372093023,0,0.01627906976744186,0.009302325581395349,0.009302325581395349,0.004651162790697674,0.004651162790697674,0.013953488372093023,0.004651162790697674,0.004651162790697674,0.013953488372093023,0,0,0.009302325581395349,0.0069767441860465115,0,0.002325581395348837,0,0.0069767441860465115,0,0,0,0,0,0,0.0069767441860465115,0,0,0.004651162790697674,0.004651162790697674,0,0.002325581395348837,0,0,0,0,0,0,0,0,0,0,0,0,0.013953488372093023,0.004651162790697674,0.002325581395348837,0,0.004651162790697674,0.02558139534883721,0,0.020930232558139535,0,0.002325581395348837,0.03488372093023256,0.0069767441860465115,0.009302325581395349,0.002325581395348837,0,0,0,0,0,0,0,0,0
10103676,0.002325581395348837,0.0069767441860465115,0.002325581395348837,0,0.002325581395348837,0,0.05116279069767442,0.011627906976744186,0,0.0069767441860465115,0.002325581395348837,0.004651162790697674,0,0.004651162790697674,0,0.002325581395348837,0,0,0.011627906976744186,0.01627906976744186,0,0.002325581395348837,0.0069767441860465115,0.011627906976744186,0.002325581395348837,0,0,0,0.009302325581395349,0,0.002325581395348837,0.002325581395348837,0,0.002325581395348837,0,0,0,0.002325581395348837,0,0,0.009302325581395349,0,0,0.0069767441860465115,0.009302325581395349,0,0.004651162790697674,0.0069767441860465115,0,0.002325581395348837,0,0,0.01627906976744186,0,0,0,0,0,0.027906976744186046,0.009302325581395349,0,0,0.002325581395348837,0,0,0.0069767441860465115,0,0,0.002325581395348837,0.002325581395348837,0.002325581395348837,0.004651162790697674,0.0069767441860465115,0,0.018604651162790697,0,0,0,0,0,0.02558139534883721,0.002325581395348837,0,0,0.013953488372093023,0,0,0,0.002325581395348837,0,0,0,0.002325581395348837,0,0,0,0.004651162790697674,0.030232558139534883,0.002325581395348837,0.011627906976744186,0.013953488372093023,0.002325581395348837,0,0.027906976744186046,0.004651162790697674,0.009302325581395349,0.018604651162790697,0.0069767441860465115,0.044186046511627906,0.002325581395348837,0,0.004651162790697674,0,0,0,0.002325581395348837,0,0,0,0.002325581395348837,0,0,0,0.002325581395348837,0,0,0,0.002325581395348837,0,0.002325581395348837,0.002325581395348837,0,0.002325581395348837,0.004651162790697674,0,0,0.002325581395348837,0,0.04186046511627907,0.0069767441860465115,0.004651162790697674,0.004651162790697674,0.027906976744186046,0.002325581395348837,0,0,0.009302325581395349,0,0.002325581395348837,0.004651162790697674,0,0.004651162790697674,0,0,0.01627906976744186,0,0.002325581395348837,0.002325581395348837,0.009302325581395349,0,0,0,0.004651162790697674,0,0.011627906976744186,0,0.01627906976744186,0.013953488372093023,0,0.01627906976744186,0.009302325581395349,0.009302325581395349,0.004651162790697674,0.004651162790697674,0.013953488372093023,0.004651162790697674,0.004651162790697674,0.013953488372093023,0,0,0.009302325581395349,0.0069767441860465115,0,0.002325581395348837,0,0.0069767441860465115,0,0,0,0,0,0,0.0069767441860465115,0,0,0.004651162790697674,0.004651162790697674,0,0.002325581395348837,0,0,0,0,0,0,0,0,0,0,0,0,0.013953488372093023,0.004651162790697674,0.002325581395348837,0,0.004651162790697674,0.02558139534883721,0,0.020930232558139535,0,0.002325581395348837,0.03488372093023256,0.0069767441860465115,0.009302325581395349,0.002325581395348837,0,0,0,0,0,0,0,0,0
10105175,0.0031847133757961785,0.0031847133757961785,0,0,0.006369426751592357,0,0.0732484076433121,0,0,0,0,0,0,0.012738853503184714,0.0031847133757961785,0,0,0,0.03184713375796178,0.03184713375796178,0.0031847133757961785,0,0.028662420382165606,0.009554140127388535,0.0031847133757961785,0,0,0,0,0.0031847133757961785,0.006369426751592357,0,0,0.0031847133757961785,0,0,0,0,0,0,0.0031847133757961785,0,0,0.01592356687898089,0.0031847133757961785,0,0.0031847133757961785,0,0,0.0031847133757961785,0.0031847133757961785,0,0.0031847133757961785,0.0031847133757961785,0,0,0,0,0.01592356687898089,0.009554140127388535,0.0031847133757961785,0.006369426751592357,0,0,0,0.0031847133757961785,0.0031847133757961785,0,0.009554140127388535,0,0,0,0,0,0.022292993630573247,0,0,0,0,0,0.028662420382165606,0,0,0,0.009554140127388535,0,0,0,0.0031847133757961785,0,0,0,0,0,0,0,0.0031847133757961785,0.05732484076433121,0,0.01592356687898089,0.009554140127388535,0,0,0.044585987261146494,0.0031847133757961785,0.028662420382165606,0.01592356687898089,0.009554140127388535,0.03503184713375796,0.006369426751592357,0,0.01910828025477707,0,0.0031847133757961785,0,0,0,0.0031847133757961785,0,0,0.0031847133757961785,0,0,0,0,0.006369426751592357,0,0.0031847133757961785,0,0.0031847133757961785,0,0,0,0,0,0,0,0,0.03821656050955414,0.006369426751592357,0.006369426751592357,0,0.009554140127388535,0.012738853503184714,0,0,0.028662420382165606,0,0,0,0,0.0031847133757961785,0,0,0.01910828025477707,0.0031847133757961785,0,0,0.009554140127388535,0,0,0,0.006369426751592357,0,0.006369426751592357,0,0.01910828025477707,0.0031847133757961785,0,0,0,0.006369426751592357,0.0031847133757961785,0,0.0031847133757961785,0.009554140127388535,0.0031847133757961785,0.006369426751592357,0.0031847133757961785,0,0.009554140127388535,0.0031847133757961785,0,0.0031847133757961785,0,0,0,0,0,0,0,0,0,0,0,0.0031847133757961785,0,0,0,0,0.006369426751592357,0,0,0.006369426751592357,0,0,0,0,0,0,0,0.012738853503184714,0.03503184713375796,0.006369426751592357,0,0,0.012738853503184714,0,0.022292993630573247,0,0.006369426751592357,0.01592356687898089,0,0.0031847133757961785,0,0,0,0,0,0,0,0,0,0
10105717,0.002325581395348837,0.0069767441860465115,0.002325581395348837,0,0.002325581395348837,0,0.05116279069767442,0.011627906976744186,0,0.0069767441860465115,0.002325581395348837,0.004651162790697674,0,0.004651162790697674,0,0.002325581395348837,0,0,0.011627906976744186,0.01627906976744186,0,0.002325581395348837,0.0069767441860465115,0.011627906976744186,0.002325581395348837,0,0,0,0.009302325581395349,0,0.002325581395348837,0.002325581395348837,0,0.002325581395348837,0,0,0,0.002325581395348837,0,0,0.009302325581395349,0,0,0.0069767441860465115,0.009302325581395349,0,0.004651162790697674,0.0069767441860465115,0,0.002325581395348837,0,0,0.01627906976744186,0,0,0,0,0,0.027906976744186046,0.009302325581395349,0,0,0.002325581395348837,0,0,0.0069767441860465115,0,0,0.002325581395348837,0.002325581395348837,0.002325581395348837,0.004651162790697674,0.0069767441860465115,0,0.018604651162790697,0,0,0,0,0,0.02558139534883721,0.002325581395348837,0,0,0.013953488372093023,0,0,0,0.002325581395348837,0,0,0,0.002325581395348837,0,0,0,0.004651162790697674,0.030232558139534883,0.002325581395348837,0.011627906976744186,0.013953488372093023,0.002325581395348837,0,0.027906976744186046,0.004651162790697674,0.009302325581395349,0.018604651162790697,0.0069767441860465115,0.044186046511627906,0.002325581395348837,0,0.004651162790697674,0,0,0,0.002325581395348837,0,0,0,0.002325581395348837,0,0,0,0.002325581395348837,0,0,0,0.002325581395348837,0,0.002325581395348837,0.002325581395348837,0,0.002325581395348837,0.004651162790697674,0,0,0.002325581395348837,0,0.04186046511627907,0.0069767441860465115,0.004651162790697674,0.004651162790697674,0.027906976744186046,0.002325581395348837,0,0,0.009302325581395349,0,0.002325581395348837,0.004651162790697674,0,0.004651162790697674,0,0,0.01627906976744186,0,0.002325581395348837,0.002325581395348837,0.009302325581395349,0,0,0,0.004651162790697674,0,0.011627906976744186,0,0.01627906976744186,0.013953488372093023,0,0.01627906976744186,0.009302325581395349,0.009302325581395349,0.004651162790697674,0.004651162790697674,0.013953488372093023,0.004651162790697674,0.004651162790697674,0.013953488372093023,0,0,0.009302325581395349,0.0069767441860465115,0,0.002325581395348837,0,0.0069767441860465115,0,0,0,0,0,0,0.0069767441860465115,0,0,0.004651162790697674,0.004651162790697674,0,0.002325581395348837,0,0,0,0,0,0,0,0,0,0,0,0,0.013953488372093023,0.004651162790697674,0.002325581395348837,0,0.004651162790697674,0.02558139534883721,0,0.020930232558139535,0,0.002325581395348837,0.03488372093023256,0.0069767441860465115,0.009302325581395349,0.002325581395348837,0,0,0,0,0,0,0,0,0
10106887,0.002320185614849188,0.0069605568445475635,0.002320185614849188,0,0.002320185614849188,0,0.05104408352668213,0.01160092807424594,0,0.0069605568445475635,0.002320185614849188,0.004640371229698376,0,0.004640371229698376,0,0.002320185614849188,0,0,0.01160092807424594,0.016241299303944315,0,0.002320185614849188,0.0069605568445475635,0.01160092807424594,0.002320185614849188,0,0,0,0.009280742459396751,0,0.002320185614849188,0.002320185614849188,0,0.002320185614849188,0,0,0,0.002320185614849188,0,0,0.009280742459396751,0,0,0.0069605568445475635,0.009280742459396751,0,0.004640371229698376,0.0069605568445475635,0,0.002320185614849188,0,0,0.016241299303944315,0,0,0,0,0,0.027842227378190254,0.009280742459396751,0,0,0.002320185614849188,0,0,0.0069605568445475635,0,0,0.002320185614849188,0.002320185614849188,0.002320185614849188,0.004640371229698376,0.0069605568445475635,0,0.018561484918793503,0,0,0,0,0,0.025522041763341066,0.002320185614849188,0,0,0.013921113689095127,0,0,0,0.002320185614849188,0,0,0,0.002320185614849188,0,0,0,0.004640371229698376,0.030162412993039442,0.002320185614849188,0.01160092807424594,0.013921113689095127,0.002320185614849188,0,0.03248259860788863,0.004640371229698376,0.009280742459396751,0.018561484918793503,0.0069605568445475635,0.04408352668213457,0.002320185614849188,0,0.004640371229698376,0,0,0,0.002320185614849188,0,0,0,0.002320185614849188,0,0,0,0.002320185614849188,0,0,0,0.002320185614849188,0,0.002320185614849188,0.002320185614849188,0,0.002320185614849188,0.004640371229698376,0,0,0.002320185614849188,0,0.04176334106728538,0.0069605568445475635,0.004640371229698376,0.004640371229698376,0.027842227378190254,0.002320185614849188,0,0,0.009280742459396751,0,0.002320185614849188,0.004640371229698376,0,0.004640371229698376,0,0,0.016241299303944315,0,0.002320185614849188,0.002320185614849188,0.009280742459396751,0,0,0,0.004640371229698376,0,0.01160092807424594,0,0.013921113689095127,0.013921113689095127,0,0.016241299303944315,0.009280742459396751,0.009280742459396751,0.004640371229698376,0.004640371229698376,0.013921113689095127,0.004640371229698376,0.004640371229698376,0.013921113689095127,0,0,0.009280742459396751,0.0069605568445475635,0,0.002320185614849188,0,0.0069605568445475635,0,0,0,0,0,0,0.0069605568445475635,0,0,0.004640371229698376,0.004640371229698376,0,0.002320185614849188,0,0,0,0,0,0,0,0,0,0,0,0,0.013921113689095127,0.004640371229698376,0.002320185614849188,0,0.004640371229698376,0.025522041763341066,0,0.02088167053364269,0,0.002320185614849188,0.03480278422273782,0.0069605568445475635,0.009280742459396751,0.002320185614849188,0,0,0,0,0,0,0,0,0
10114458,0.0023148148148148147,0.006944444444444444,0.0023148148148148147,0,0.0023148148148148147,0,0.05092592592592592,0.011574074074074073,0,0.006944444444444444,0.0023148148148148147,0.004629629629629629,0,0.004629629629629629,0,0.0023148148148148147,0,0,0.011574074074074073,0.016203703703703703,0,0.0023148148148148147,0.006944444444444444,0.011574074074074073,0.0023148148148148147,0,0,0,0.009259259259259259,0,0.0023148148148148147,0.0023148148148148147,0,0.0023148148148148147,0,0,0,0.0023148148148148147,0,0,0.009259259259259259,0,0,0.006944444444444444,0.009259259259259259,0,0.004629629629629629,0.006944444444444444,0,0.0023148148148148147,0,0,0.016203703703703703,0,0,0,0,0,0.027777777777777776,0.009259259259259259,0,0,0.0023148148148148147,0,0,0.006944444444444444,0,0,0.0023148148148148147,0.0023148148148148147,0.0023148148148148147,0.004629629629629629,0.006944444444444444,0,0.018518518518518517,0,0,0,0,0,0.02546296296296296,0.0023148148148148147,0,0,0.013888888888888888,0,0,0,0.0023148148148148147,0,0,0,0.0023148148148148147,0,0,0,0.004629629629629629,0.03009259259259259,0.0023148148148148147,0.011574074074074073,0.013888888888888888,0.0023148148148148147,0,0.027777777777777776,0.004629629629629629,0.009259259259259259,0.018518518518518517,0.006944444444444444,0.04398148148148148,0.0023148148148148147,0,0.004629629629629629,0,0,0,0.0023148148148148147,0,0,0,0.0023148148148148147,0,0,0,0.0023148148148148147,0,0,0,0.0023148148148148147,0,0.0023148148148148147,0.0023148148148148147,0,0.0023148148148148147,0.004629629629629629,0,0,0.0023148148148148147,0,0.041666666666666664,0.006944444444444444,0.004629629629629629,0.004629629629629629,0.027777777777777776,0.0023148148148148147,0,0,0.009259259259259259,0,0.0023148148148148147,0.004629629629629629,0,0.004629629629629629,0,0,0.016203703703703703,0,0.0023148148148148147,0.0023148148148148147,0.009259259259259259,0,0,0,0.004629629629629629,0,0.011574074074074073,0,0.016203703703703703,0.016203703703703703,0,0.016203703703703703,0.009259259259259259,0.009259259259259259,0.004629629629629629,0.004629629629629629,0.013888888888888888,0.004629629629629629,0.004629629629629629,0.013888888888888888,0,0,0.009259259259259259,0.009259259259259259,0,0.0023148148148148147,0,0.006944444444444444,0,0,0,0,0,0,0.006944444444444444,0,0,0.004629629629629629,0.004629629629629629,0,0.0023148148148148147,0,0,0,0,0,0,0,0,0,0,0,0,0.013888888888888888,0.004629629629629629,0.0023148148148148147,0,0.004629629629629629,0.02546296296296296,0,0.020833333333333332,0,0.0023148148148148147,0.034722222222222224,0.006944444444444444,0.009259259259259259,0.0023148148148148147,0,0,0,0,0,0,0,0,0
10114531,0.002325581395348837,0.0069767441860465115,0.002325581395348837,0,0.002325581395348837,0,0.05116279069767442,0.011627906976744186,0,0.0069767441860465115,0.002325581395348837,0.004651162790697674,0,0.004651162790697674,0,0.002325581395348837,0,0,0.011627906976744186,0.01627906976744186,0,0.002325581395348837,0.0069767441860465115,0.011627906976744186,0.002325581395348837,0,0,0,0.009302325581395349,0,0.002325581395348837,0.002325581395348837,0,0.002325581395348837,0,0,0,0.002325581395348837,0,0,0.009302325581395349,0,0,0.0069767441860465115,0.009302325581395349,0,0.004651162790697674,0.0069767441860465115,0,0.002325581395348837,0,0,0.01627906976744186,0,0,0,0,0,0.027906976744186046,0.009302325581395349,0,0,0.002325581395348837,0,0,0.0069767441860465115,0,0,0.002325581395348837,0.002325581395348837,0.002325581395348837,0.004651162790697674,0.0069767441860465115,0,0.018604651162790697,0,0,0,0,0,0.02558139534883721,0.002325581395348837,0,0,0.013953488372093023,0,0,0,0.002325581395348837,0,0,0,0.002325581395348837,0,0,0,0.004651162790697674,0.030232558139534883,0.002325581395348837,0.011627906976744186,0.013953488372093023,0.002325581395348837,0,0.027906976744186046,0.004651162790697674,0.009302325581395349,0.018604651162790697,0.0069767441860465115,0.044186046511627906,0.002325581395348837,0,0.004651162790697674,0,0,0,0.002325581395348837,0,0,0,0.002325581395348837,0,0,0,0.002325581395348837,0,0,0,0.002325581395348837,0,0.002325581395348837,0.002325581395348837,0,0.002325581395348837,0.004651162790697674,0,0,0.002325581395348837,0,0.04186046511627907,0.0069767441860465115,0.004651162790697674,0.004651162790697674,0.027906976744186046,0.002325581395348837,0,0,0.009302325581395349,0,0.002325581395348837,0.004651162790697674,0,0.004651162790697674,0,0,0.01627906976744186,0,0.002325581395348837,0.002325581395348837,0.009302325581395349,0,0,0,0.004651162790697674,0,0.011627906976744186,0,0.01627906976744186,0.013953488372093023,0,0.01627906976744186,0.009302325581395349,0.009302325581395349,0.004651162790697674,0.004651162790697674,0.013953488372093023,0.004651162790697674,0.004651162790697674,0.013953488372093023,0,0,0.009302325581395349,0.0069767441860465115,0,0.002325581395348837,0,0.0069767441860465115,0,0,0,0,0,0,0.0069767441860465115,0,0,0.004651162790697674,0.004651162790697674,0,0.002325581395348837,0,0,0,0,0,0,0,0,0,0,0,0,0.013953488372093023,0.004651162790697674,0.002325581395348837,0,0.004651162790697674,0.02558139534883721,0,0.020930232558139535,0,0.002325581395348837,0.03488372093023256,0.0069767441860465115,0.009302325581395349,0.002325581395348837,0,0,0,0,0,0,0,0,0
10122654,0.002325581395348837,0.0069767441860465115,0.002325581395348837,0,0.002325581395348837,0,0.05116279069767442,0.011627906976744186,0,0.0069767441860465115,0.002325581395348837,0.004651162790697674,0,0.004651162790697674,0,0.002325581395348837,0,0,0.011627906976744186,0.01627906976744186,0,0.002325581395348837,0.0069767441860465115,0.011627906976744186,0.002325581395348837,0,0,0,0.009302325581395349,0,0.002325581395348837,0.002325581395348837,0,0.002325581395348837,0,0,0,0.002325581395348837,0,0,0.009302325581395349,0,0,0.0069767441860465115,0.009302325581395349,0,0.004651162790697674,0.0069767441860465115,0,0.002325581395348837,0,0,0.01627906976744186,0,0,0,0,0,0.027906976744186046,0.009302325581395349,0,0,0.002325581395348837,0,0,0.0069767441860465115,0,0,0.002325581395348837,0.002325581395348837,0.002325581395348837,0.004651162790697674,0.0069767441860465115,0,0.018604651162790697,0,0,0,0,0,0.02558139534883721,0.002325581395348837,0,0,0.013953488372093023,0,0,0,0.002325581395348837,0,0,0,0.002325581395348837,0,0,0,0.004651162790697674,0.030232558139534883,0.002325581395348837,0.011627906976744186,0.013953488372093023,0.002325581395348837,0,0.027906976744186046,0.004651162790697674,0.009302325581395349,0.018604651162790697,0.0069767441860465115,0.044186046511627906,0.002325581395348837,0,0.004651162790697674,0,0,0,0.002325581395348837,0,0,0,0.002325581395348837,0,0,0,0.002325581395348837,0,0,0,0.002325581395348837,0,0.002325581395348837,0.002325581395348837,0,0.002325581395348837,0.004651162790697674,0,0,0.002325581395348837,0,0.04186046511627907,0.0069767441860465115,0.004651162790697674,0.004651162790697674,0.027906976744186046,0.002325581395348837,0,0,0.009302325581395349,0,0.002325581395348837,0.004651162790697674,0,0.004651162790697674,0,0,0.01627906976744186,0,0.002325581395348837,0.002325581395348837,0.009302325581395349,0,0,0,0.004651162790697674,0,0.011627906976744186,0,0.01627906976744186,0.013953488372093023,0,0.01627906976744186,0.009302325581395349,0.009302325581395349,0.004651162790697674,0.004651162790697674,0.013953488372093023,0.004651162790697674,0.004651162790697674,0.013953488372093023,0,0,0.009302325581395349,0.0069767441860465115,0,0.002325581395348837,0,0.0069767441860465115,0,0,0,0,0,0,0.0069767441860465115,0,0,0.004651162790697674,0.004651162790697674,0,0.002325581395348837,0,0,0,0,0,0,0,0,0,0,0,0,0.013953488372093023,0.004651162790697674,0.002325581395348837,0,0.004651162790697674,0.02558139534883721,0,0.020930232558139535,0,0.002325581395348837,0.03488372093023256,0.0069767441860465115,0.009302325581395349,0.002325581395348837,0,0,0,0,0,0,0,0,0
10122977,0.002325581395348837,0.0069767441860465115,0.002325581395348837,0,0.002325581395348837,0,0.05116279069767442,0.011627906976744186,0,0.0069767441860465115,0.002325581395348837,0.004651162790697674,0,0.004651162790697674,0,0.002325581395348837,0,0,0.011627906976744186,0.01627906976744186,0,0.002325581395348837,0.0069767441860465115,0.011627906976744186,0.002325581395348837,0,0,0,0.009302325581395349,0,0.002325581395348837,0.002325581395348837,0,0.002325581395348837,0,0,0,0.002325581395348837,0,0,0.009302325581395349,0,0,0.0069767441860465115,0.009302325581395349,0,0.004651162790697674,0.0069767441860465115,0,0.002325581395348837,0,0,0.01627906976744186,0,0,0,0,0,0.027906976744186046,0.009302325581395349,0,0,0.002325581395348837,0,0,0.0069767441860465115,0,0,0.002325581395348837,0.002325581395348837,0.002325581395348837,0.004651162790697674,0.0069767441860465115,0,0.018604651162790697,0,0,0,0,0,0.02558139534883721,0.002325581395348837,0,0,0.013953488372093023,0,0,0,0.002325581395348837,0,0,0,0.002325581395348837,0,0,0,0.004651162790697674,0.030232558139534883,0.002325581395348837,0.011627906976744186,0.013953488372093023,0.002325581395348837,0,0.027906976744186046,0.004651162790697674,0.009302325581395349,0.018604651162790697,0.0069767441860465115,0.044186046511627906,0.002325581395348837,0,0.004651162790697674,0,0,0,0.002325581395348837,0,0,0,0.002325581395348837,0,0,0,0.002325581395348837,0,0,0,0.002325581395348837,0,0.002325581395348837,0.002325581395348837,0,0.002325581395348837,0.004651162790697674,0,0,0.002325581395348837,0,0.04186046511627907,0.0069767441860465115,0.004651162790697674,0.004651162790697674,0.027906976744186046,0.002325581395348837,0,0,0.009302325581395349,0,0.002325581395348837,0.004651162790697674,0,0.004651162790697674,0,0,0.01627906976744186,0,0.002325581395348837,0.002325581395348837,0.009302325581395349,0,0,0,0.004651162790697674,0,0.011627906976744186,0,0.01627906976744186,0.013953488372093023,0,0.01627906976744186,0.009302325581395349,0.009302325581395349,0.004651162790697674,0.004651162790697674,0.013953488372093023,0.004651162790697674,0.004651162790697674,0.013953488372093023,0,0,0.009302325581395349,0.0069767441860465115,0,0.002325581395348837,0,0.0069767441860465115,0,0,0,0,0,0,0.0069767441860465115,0,0,0.004651162790697674,0.004651162790697674,0,0.002325581395348837,0,0,0,0,0,0,0,0,0,0,0,0,0.013953488372093023,0.004651162790697674,0.002325581395348837,0,0.004651162790697674,0.02558139534883721,0,0.020930232558139535,0,0.002325581395348837,0.03488372093023256,0.0069767441860465115,0.009302325581395349,0.002325581395348837,0,0,0,0,0,0,0,0,0
10125457,0.002336448598130841,0.007009345794392523,0.002336448598130841,0,0.002336448598130841,0,0.04672897196261682,0.011682242990654205,0,0.004672897196261682,0.002336448598130841,0.004672897196261682,0,0.004672897196261682,0,0.002336448598130841,0,0,0.011682242990654205,0.016355140186915886,0,0.002336448598130841,0.007009345794392523,0.011682242990654205,0.002336448598130841,0,0,0,0.009345794392523364,0,0.002336448598130841,0.002336448598130841,0,0,0,0.002336448598130841,0,0.002336448598130841,0.002336448598130841,0,0.007009345794392523,0,0,0.007009345794392523,0.009345794392523364,0,0.004672897196261682,0.007009345794392523,0,0.002336448598130841,0,0,0.016355140186915886,0,0,0,0,0,0.028037383177570093,0.007009345794392523,0,0,0.002336448598130841,0,0,0.009345794392523364,0,0,0.002336448598130841,0.002336448598130841,0.002336448598130841,0.004672897196261682,0.007009345794392523,0,0.016355140186915886,0,0,0,0,0,0.02336448598130841,0.002336448598130841,0,0,0.016355140186915886,0,0,0,0.002336448598130841,0,0,0,0,0,0,0,0.004672897196261682,0.030373831775700934,0.004672897196261682,0.011682242990654205,0.014018691588785047,0.002336448598130841,0,0.04672897196261682,0.004672897196261682,0.009345794392523364,0.018691588785046728,0.004672897196261682,0.04439252336448598,0.002336448598130841,0,0.002336448598130841,0,0,0,0.002336448598130841,0,0,0,0.002336448598130841,0,0,0,0.002336448598130841,0,0,0,0.002336448598130841,0,0.002336448598130841,0.002336448598130841,0,0.002336448598130841,0.004672897196261682,0,0,0.002336448598130841,0,0.04205607476635514,0.007009345794392523,0.004672897196261682,0.004672897196261682,0.028037383177570093,0.002336448598130841,0,0,0.009345794392523364,0,0.002336448598130841,0.004672897196261682,0,0.002336448598130841,0,0,0.016355140186915886,0,0.002336448598130841,0,0.009345794392523364,0,0,0,0.004672897196261682,0,0.011682242990654205,0,0.018691588785046728,0.014018691588785047,0,0.016355140186915886,0.009345794392523364,0.009345794392523364,0.004672897196261682,0.004672897196261682,0.014018691588785047,0.004672897196261682,0.002336448598130841,0.011682242990654205,0,0,0.009345794392523364,0.007009345794392523,0,0.002336448598130841,0,0.007009345794392523,0,0,0,0,0,0,0.007009345794392523,0,0,0.004672897196261682,0.004672897196261682,0,0.002336448598130841,0,0,0,0,0,0,0,0,0,0,0,0,0.011682242990654205,0.004672897196261682,0.002336448598130841,0,0.004672897196261682,0.02570093457943925,0,0.02336448598130841,0,0.002336448598130841,0.03271028037383177,0.007009345794392523,0.009345794392523364,0.002336448598130841,0,0,0,0,0,0,0,0,0
