"","docid","cluster","membership_prob","outlier_scores"
"1","10100170",9,1,NA
"2","10103676",9,1,NA
"3","10105175",5,0.0113818028856679,0
"4","10105717",9,1,NA
"5","10106887",9,0.788759203953919,0
"6","10114458",9,0.850605332492685,1
"7","10114531",9,1,NA
"8","10122654",9,1,NA
"9","10122977",9,1,NA
"10","10125457",9,1,NA
"11","10126833",9,1,NA
"12","10127011",9,1,NA
"13","10127301",9,1,NA
"14","10133472",9,1,NA
"15","10134922",9,1,NA
"16","10135891",9,0.815979704168277,1
"17","10141958",9,1,NA
"18","10145958",9,1,NA
"19","10148896",9,0.719097670025027,1
"20","10151766",9,1,NA
"21","10156310",9,1,NA
"22","10156978",9,0.849902060317954,1
"23","10158965",9,1,NA
"24","10165376",9,1,NA
"25","10167062",9,1,NA
"26","10172697",9,1,NA
"27","10173030",9,1,NA
"28","10176685",9,0.89449415635563,1
"29","10183418",9,1,NA
"30","10183564",9,1,NA
"31","10190559",9,1,NA
"32","10190969",9,0.788759203953919,0
"33","10195212",9,1,NA
"34","10202655",9,0.764646701723416,1
"35","10205669",9,1,NA
"36","10209757",9,1,NA
"37","10209909",9,1,NA
"38","10209921",9,1,NA
"39","10214320",9,0.789251606741905,1
"40","10216680",9,1,NA
"41","10216949",9,1,NA
"42","10217138",9,0.76409692110819,0.104544132961654
"43","10226183",9,1,NA
"44","10226968",0,0,1
"45","10227620",9,1,NA
"46","10227636",9,1,NA
"47","10233281",9,1,NA
"48","10233805",9,1,NA
"49","10237092",9,1,NA
"50","10237599",9,1,NA
"51","10243351",9,1,NA
"52","10243618",9,1,NA
"53","10245650",9,1,NA
"54","10248128",0,0,1
"55","10249930",9,1,NA
"56","10251323",9,0.850280388476114,1
"57","10253555",9,0.699151651196709,1
"58","10262382",9,0.53901390904484,1
"59","10264155",9,0.700560776952228,1
"60","10275609",9,1,NA
"61","10280407",9,1,NA
"62","10290396",9,1,NA
"63","10293155",9,1,NA
"64","10296148",5,0.00557524347458275,0.00583911389271263
"65","10296501",9,1,NA
"66","10300888",9,1,NA
"67","10308564",9,1,NA
"68","10309335",9,1,NA
"69","10315943",9,0.788759203953919,0
"70","10320298",9,1,NA
"71","10324277",0,0,1
"72","10328668",9,0.849902060317954,1
"73","10332695",9,1,NA
"74","10336201",9,0.850280388476114,1
"75","10338249",9,1,NA
"76","10339981",9,1,NA
"77","10346841",9,1,NA
"78","10346909",9,1,NA
"79","10348494",9,1,NA
"80","10348903",9,0.850280388476114,1
"81","10353212",5,0.0113818028856677,0
"82","10358660",9,1,NA
"83","10359863",9,1,NA
"84","10366932",9,1,NA
"85","10371118",9,1,NA
"86","10377291",9,1,NA
"87","10378363",9,1,NA
"88","10378884",9,1,NA
"89","10380522",9,0.635811798887567,1
"90","10387332",9,1,NA
"91","10393013",9,1,NA
"92","10397565",9,1,NA
"93","10406558",9,1,NA
"94","10406845",9,1,NA
"95","10408408",9,1,NA
"96","10417776",9,1,NA
"97","10423111",9,0.418768826653443,1
"98","10425990",9,1,NA
"99","10427758",9,1,NA
"100","10428682",9,1,NA
"101","10430733",9,1,NA
"102","10439157",9,1,NA
"103","10439503",9,1,NA
"104","10444231",9,0.76409692110819,0.104544132961654
"105","10450417",9,1,NA
"106","10452861",9,1,NA
"107","10456558",9,1,NA
"108","10456648",9,1,NA
"109","10456849",9,0.817268469546861,1
"110","10459618",9,1,NA
"111","10463458",9,0.894247318264591,1
"112","10464888",9,1,NA
"113","10482026",9,1,NA
"114","10484803",9,0.370718454412529,1
"115","10485326",9,1,NA
"116","10491101",9,1,NA
"117","10491943",9,1,NA
"118","10492066",0,0,1
"119","10493043",9,1,NA
"120","10495016",9,0,1
"121","10500605",9,0.719003362408079,1
"122","10502099",9,1,NA
"123","10518117",9,0.76409692110819,0.104544132961654
"124","10521554",9,0.540127955798999,1
"125","10526851",0,0,1
"126","10527169",9,1,NA
"127","10532060",9,1,NA
"128","10533558",9,0.700560776952228,1
"129","10537456",9,1,NA
"130","10538284",9,1,NA
"131","10541164",9,1,NA
"132","10547588",0,0,1
"133","10549907",9,1,NA
"134","10551913",9,1,NA
"135","10568003",9,1,NA
"136","10569452",9,1,NA
"137","10575526",9,0.76409692110819,0.104544132961654
"138","106557",0,0,1
"139","1071253",0,0,1
"140","1073558",0,0,1
"141","1075371",0,0,1
"142","1079486",0,0,1
"143","1080702",0,0,1
"144","1083240",0,0,1
"145","1084116",0,0,1
"146","1087259",0,0,1
"147","10911771",9,1,NA
"148","10916721",9,1,NA
"149","1092067",6,1,NA
"150","10926866",9,1,NA
"151","10928341",9,1,NA
"152","10932570",9,1,NA
"153","10933262",9,1,NA
"154","10935424",9,0.574536184904834,1
"155","10938038",9,1,NA
"156","10942828",0,0,1
"157","10942989",9,1,NA
"158","10945697",9,1,NA
"159","10946454",0,0,1
"160","10947344",9,1,NA
"161","1094847",0,0,1
"162","10952953",9,1,NA
"163","10955448",9,0.682682754336248,1
"164","10957100",9,1,NA
"165","10964253",9,1,NA
"166","10964476",9,1,NA
"167","10968368",9,1,NA
"168","10968951",9,0.76409717805761,1
"169","10976019",9,1,NA
"170","10976909",9,1,NA
"171","10989314",9,1,NA
"172","10998931",9,1,NA
