"","docid","cluster","membership_prob","outlier_scores"
"1","10100170",7,1,NA
"2","10103676",7,1,NA
"3","10105175",3,0.0130424121877444,0.0576542244908196
"4","10105717",7,1,NA
"5","10106887",7,0.729214124045922,1
"6","10114458",7,0.77941716367636,1
"7","10114531",7,1,NA
"8","10122654",7,1,NA
"9","10122977",7,1,NA
"10","10125457",7,1,NA
"11","10126833",7,1,NA
"12","10127011",7,1,NA
"13","10127301",7,1,NA
"14","10133472",7,1,NA
"15","10134922",7,1,NA
"16","10135891",7,0.726237699570873,1
"17","10141958",7,1,NA
"18","10145958",7,1,NA
"19","10148896",7,0.283484105996982,1
"20","10151766",7,1,NA
"21","10156310",7,1,NA
"22","10156978",7,0.778242877502092,1
"23","10158965",7,1,NA
"24","10165376",7,1,NA
"25","10167062",7,1,NA
"26","10172697",7,1,NA
"27","10173030",7,1,NA
"28","10176685",7,0.844386273010539,1
"29","10183418",7,1,NA
"30","10183564",7,1,NA
"31","10190559",7,1,NA
"32","10190969",7,0.729214124045922,1
"33","10195212",7,1,NA
"34","10202655",7,0.589658471652077,1
"35","10205669",7,1,NA
"36","10209757",7,1,NA
"37","10209909",7,1,NA
"38","10209921",7,1,NA
"39","10214320",7,0.687334343604931,1
"40","10216680",7,1,NA
"41","10216949",7,1,NA
"42","10217138",7,0.69320824517452,1
"43","10226183",7,1,NA
"44","10226968",0,0,1
"45","10227620",7,1,NA
"46","10227636",7,1,NA
"47","10233281",7,1,NA
"48","10233805",7,1,NA
"49","10237092",7,1,NA
"50","10237599",7,1,NA
"51","10243351",7,1,NA
"52","10243618",7,1,NA
"53","10245650",7,1,NA
"54","10248128",0,0,1
"55","10249930",7,1,NA
"56","10251323",7,0.77788367781248,1
"57","10253555",7,0.613485502934058,1
"58","10262382",7,0.391240986655354,1
"59","10264155",7,0.729647876229069,1
"60","10275609",7,1,NA
"61","10280407",7,1,NA
"62","10290396",7,1,NA
"63","10293155",7,1,NA
"64","10296148",3,0,0.06994468651839
"65","10296501",7,1,NA
"66","10300888",7,1,NA
"67","10308564",7,1,NA
"68","10309335",7,1,NA
"69","10315943",7,0.729214124045922,1
"70","10320298",7,1,NA
"71","10324277",0,0,1
"72","10328668",7,0.778242877502092,1
"73","10332695",7,1,NA
"74","10336201",7,0.842208252833115,1
"75","10338249",7,1,NA
"76","10339981",7,1,NA
"77","10346841",7,1,NA
"78","10346909",7,1,NA
"79","10348494",7,1,NA
"80","10348903",7,0.842208252833115,1
"81","10353212",3,0.06994468651839,0
"82","10358660",7,1,NA
"83","10359863",7,1,NA
"84","10366932",7,1,NA
"85","10371118",7,1,NA
"86","10377291",7,1,NA
"87","10378363",7,1,NA
"88","10378884",7,1,NA
"89","10380522",7,0.538951609489769,1
"90","10387332",7,1,NA
"91","10393013",7,1,NA
"92","10397565",7,1,NA
"93","10406558",7,1,NA
"94","10406845",7,1,NA
"95","10408408",7,1,NA
"96","10417776",7,1,NA
"97","10423111",7,0.398894337265149,1
"98","10425990",7,1,NA
"99","10427758",7,1,NA
"100","10428682",7,1,NA
"101","10430733",7,1,NA
"102","10439157",7,1,NA
"103","10439503",7,1,NA
"104","10444231",7,0.617064340869854,1
"105","10450417",7,1,NA
"106","10452861",7,1,NA
"107","10456558",7,1,NA
"108","10456648",7,1,NA
"109","10456849",7,0.727965402905301,1
"110","10459618",7,1,NA
"111","10463458",7,0.842573947048412,1
"112","10464888",7,1,NA
"113","10482026",7,1,NA
"114","10484803",7,0.219247405218443,1
"115","10485326",7,1,NA
"116","10491101",7,1,NA
"117","10491943",7,1,NA
"118","10492066",0,0,1
"119","10493043",7,1,NA
"120","10495016",7,0,1
"121","10500605",7,0.652595255414495,1
"122","10502099",7,1,NA
"123","10518117",7,0.687334343604931,1
"124","10521554",7,0.651222911395492,1
"125","10526851",0,0,1
"126","10527169",7,1,NA
"127","10532060",7,1,NA
"128","10533558",7,0.729647876229069,1
"129","10537456",7,1,NA
"130","10538284",7,1,NA
"131","10541164",7,1,NA
"132","10547588",0,0,1
"133","10549907",7,1,NA
"134","10551913",7,1,NA
"135","10568003",7,1,NA
"136","10569452",7,1,NA
"137","10575526",7,0.584317730626771,1
"138","106557",0,0,1
"139","1071253",0,0,1
"140","1073558",0,0,1
"141","1075371",0,0,1
"142","1079486",0,0,1
"143","1080702",4,0.0360571830896192,1
"144","1083240",0,0,1
"145","1084116",0,0,1
"146","1087259",0,0,1
"147","10911771",7,1,NA
"148","10916721",7,1,NA
"149","1092067",4,1,NA
"150","10926866",7,1,NA
"151","10928341",7,1,NA
"152","10932570",7,1,NA
"153","10933262",7,1,NA
"154","10935424",7,0.368824469333318,1
"155","10938038",7,1,NA
"156","10942828",0,0,1
"157","10942989",7,1,NA
"158","10945697",7,1,NA
"159","10946454",0,0,1
"160","10947344",7,1,NA
"161","1094847",0,0,1
"162","10952953",7,1,NA
"163","10955448",7,0.556798057816085,1
"164","10957100",7,1,NA
"165","10964253",7,1,NA
"166","10964476",7,1,NA
"167","10968368",7,1,NA
"168","10968951",7,0.651721931043237,1
"169","10976019",7,1,NA
"170","10976909",7,1,NA
"171","10989314",7,1,NA
"172","10998931",7,1,NA
"173","11017896",7,0.842208252833115,1
"174","1106467",4,1,NA
"175","1108042",4,1,NA
"176","11087021",0,0,1
"177","1128170",4,1,NA
"178","1129535",4,1,NA
"179","11299777",1,NA,NA
"180","1132460",4,0.888121308423353,1
"181","1144927",4,1,NA
"182","1146119",4,1,NA
"183","114655",0,0,1
"184","1147618",4,1,NA
"185","1149413",4,1,NA
"186","1162969",4,1,NA
"187","1163236",4,1,NA
"188","1164928",4,1,NA
"189","1167714",4,1,NA
"190","1168591",4,1,NA
"191","117712",0,0,1
"192","1177213",4,1,NA
"193","1185027",4,1,NA
"194","1186600",4,1,NA
"195","12094223",0,0,1
"196","12201836",1,NA,NA
"197","122527",0,0,1
"198","12301724",1,NA,NA
"199","12315453",6,0.659919997301792,1
"200","12728069",7,1,NA
"201","12742209",7,1,NA
"202","12754544",7,1,NA
"203","12754708",7,1,NA
"204","12771155",7,1,NA
"205","12772649",7,0.84366588587827,1
"206","12775853",7,1,NA
"207","1280564",4,1,NA
"208","1284082",4,1,NA
"209","1286282",4,0.863157442115904,1
"210","12891576",6,1,NA
"211","1293596",4,0.824931348064321,1
"212","129446",0,0,1
"213","13093323",1,NA,NA
"214","13243291",1,NA,NA
"215","13261909",1,NA,NA
"216","133303",5,0.161488676763267,0
"217","13501380",1,NA,NA
"218","1362617",0,0,1
"219","13672641",1,NA,NA
"220","1391575",0,0,1
"221","139372",0,0,1
"222","1422823",0,0,1
"223","14255494",0,0,1
"224","14286127",1,NA,NA
"225","14422812",0,0,1
"226","148676",0,0,1
"227","150767",0,0,1
"228","155090",0,0,1
"229","15526752",1,NA,NA
"230","164385",0,0,1
"231","1659964",0,0,1
"232","167577",0,0,1
"233","1679052",0,0,1
"234","168444",0,0,1
"235","17218388",1,NA,NA
"236","1764196",0,0,1
"237","1780730",0,0,1
"238","18357458",1,NA,NA
"239","192873",0,0,1
"240","193778",0,0,1
"241","1972182",0,0,1
"242","1986040",0,0,1
"243","199028",0,0,1
"244","201161",0,0,1
"245","2041846",0,0,1
"246","2048722",0,0,1
"247","2057575",0,0,1
"248","2062765",0,0,1
"249","207275",0,0,1
"250","2075504",0,0,1
"251","207842",0,0,1
"252","207900",0,0,1
"253","212177",0,0,1
"254","2148323",0,0,1
"255","2148500",0,0,1
"256","2156619",0,0,1
"257","2168448",0,0,1
"258","2168472",0,0,1
"259","2168958",0,0,1
"260","2171579",0,0,1
"261","21806828",0,0,1
"262","21808409",0,0,1
"263","21812925",0,0,1
"264","21813609",0,0,1
"265","21814545",0,0,1
"266","21815284",0,0,1
"267","21819237",0,0,1
"268","21865969",0,0,1
"269","2187570",2,0.166585689709438,0.152294712374119
"270","22025199",0,0,1
"271","22025410",0,0,1
"272","220408",0,0,1
"273","2207617",2,0.0953588855405757,0.219038681390735
"274","2208170",2,0.142809584885928,0.175807725845407
"275","22087011",0,0,1
"276","22089519",0,0,1
"277","22096368",0,0,1
"278","22098455",6,1,NA
"279","22101143",0,0,1
"280","2217948",2,0.261695094475812,0.0456592879284522
"281","2219199",2,0.254066701302185,0.0528781610236271
"282","2220438",2,0.105557709675625,0.210133817174304
"283","2226926",2,0.181822746564702,0.136507749818229
"284","2227803",2,0.211196921250589,0.104352231058132
"285","223028",0,0,1
"286","223089",0,0,1
"287","2240264",2,0.140385773856687,0.178131659376933
"288","2242789",2,0.0703148704485897,0.240076349336382
"289","2243120",2,0.263710343635166,0.0404731188206193
"290","224522",0,0,1
"291","2273094",2,0.183082951114364,0.135175696748996
"292","2275500",2,0.224165189100161,0.0893812604296829
"293","2279957",2,0.132557332197991,0.185548804733639
"294","2282970",2,0.0702125426296587,0.240159982783047
"295","2289629",2,0.208267880048152,0.107665711908525
"296","2295127",2,0.109706387070345,0.206453121356708
"297","2296616",2,0.0985717250686247,0.216255206028265
"298","2302309",2,0.10550731030795,0.210178321457706
"299","2303959",2,0.080666951689329,0.231519285731538
"300","2308245",2,0.00843992877455221,0.287496806176098
"301","2311308",2,0.00897880966702458,0.287109373131556
"302","2313635",2,0.134769572281984,0.183466398101945
"303","2325026",2,0.237472928353407,0.0734890027041261
"304","2325457",2,0.0971319191550102,0.217505045748005
"305","2328954",2,0.0799902812594205,0.232084506038137
"306","2331429",2,0.0272892086364139,0.273689853254326
"307","2335559",2,0.211196921250589,0.104352231058132
"308","2341303",2,0.140385773856687,0.178131659376933
"309","2345198",2,0.0827345163400978,0.229787089777451
"310","2345218",2,0.102080803833435,0.213192322168227
"311","2350820",2,0.130155017322629,0.187798134511484
"312","235308",0,0,1
"313","2358016",2,0.156526021263912,0.162404845404912
"314","2365810",2,0.245068790125558,0.0641667633082912
"315","2367350",2,0.199691682692151,0.117228070310524
"316","2372032",2,0.0563302796166043,0.251337939158042
"317","2375003",2,0.173089931851434,0.0612137191576898
"318","2380778",2,0.211005010050951,0.104570083946908
"319","238196",0,0,1
"320","2390121",2,0.265216992961914,0.0385056392849221
"321","2404146",2,0.134151636637449,0.184049138959262
"322","2405132",2,0.111658323001663,0.204709476196613
"323","2418290",2,0.138165057454323,0.180249392616216
"324","2435780",2,0.254066701302185,0.0528781610236271
"325","2439659",2,0.250878903910896,0.0569085274667609
"326","2442201",2,0.166280675032086,0.0688810919692558
"327","2451427",2,0.13382957540594,0.212204024004048
"328","2459962",2,0.182345816807753,0.135955356018429
"329","2460699",2,0.10636776624676,0.209417822084213
"330","246955",0,0,1
"331","247549",0,0,1
"332","2479129",2,0.106645488386234,0.209172049357902
"333","2483770",2,0.048436569812893,0.257548477375314
"334","2491358",2,0.089168660292844,0.224346279253487
"335","2498376",2,0.0823078313412309,0.230145203648256
"336","2501539",2,0.0461141295480774,0.259356135255811
"337","2509267",2,0.16248183727564,0.156448481883368
"338","2525830",2,0.226221017957656,0.0869618663566583
"339","2543058",2,0.15038495819964,0.16845902808016
"340","254337",0,0,1
"341","2544321",2,0.194672244962427,0.122730201216739
"342","2552109",2,0.223280362678911,0.0904186225378892
"343","2559274",2,0.0741341313728411,0.236941611570643
"344","2561325",2,0.24921152745538,0.0590029769344926
"345","2562060",2,0.133056185796959,0.185080156243061
"346","2580814",1,NA,NA
"347","2582614",1,NA,NA
"348","2585014",0,0,1
"349","260525",0,0,1
"350","263147",0,0,1
"351","2647934",2,0.0932134055047072,0.220886455638869
"352","2651859",2,0.238287094832952,0.0724986896979916
"353","2653190",2,0.200951985441612,0.115835713568671
"354","2655898",2,0.164161534377221,0.154753284667289
"355","2656217",2,0.163370620992225,0.0721198096235653
"356","2658238",2,0.230020893811551,0.0824559888207191
"357","2659089",2,0.13476217733861,0.183473376784095
"358","2673862",2,0.151844478004601,0.167028098862959
"359","2674625",2,0.193063490947644,0.124479175634191
"360","2678210",2,0.20554759682953,0.110721152334671
"361","2680904",2,0.207968893259769,0.108002562520438
"362","2681613",2,0.194672244962427,0.122730201216739
"363","2685603",2,0.0525512210850667,0.254324103488217
"364","2686100",2,0.156757395829768,0.162175020424179
"365","2689390",2,0.0563520787732695,0.251320644358588
"366","2697361",2,0.167997786601529,0.150855963795342
"367","2698636",2,0.104912020849224,0.210703602246255
"368","269943",0,0,1
"369","2699526",2,0.0348062692055769,0.26803325065643
"370","2703352",2,0.178443433873369,0.140059556766428
"371","2712246",2,0.247286724614763,0.0614092500828991
"372","2713732",2,0.158783752263433,0.0771792276278588
"373","2714810",2,0.079768846150586,0.232269289448555
"374","2715039",2,0.17943116843731,0.139024429832475
"375","2720635",2,0.0739924002901858,0.237058402287647
"376","2721786",2,0.0967794641622829,0.217810391167498
"377","2726210",2,0.167888630510293,0.150967354226103
"378","2727580",2,0.105461544603302,0.210218729721259
"379","2729809",2,0.177859608516765,0.140670225018627
"380","2734175",2,0.161266988440944,0.157670310003481
"381","2753277",2,0.157746881629562,0.161190736837783
"382","2754640",2,0.178545120685314,0.0549793457726018
"383","2756109",2,0.143060109241911,0.175566775177903
"384","2757884",2,0.213405234849366,0.101837758250155
"385","2758320",2,0.149948441618714,0.168886039145998
"386","2760178",2,0.225184468976639,0.088183329671684
